Name;Latitude;Longitude
Mitraon Extension;28.6084;76.951551
Indra Service Station;28.608833;76.96001700000002
Nanak Piyau;28.609467;76.96776700000002
Prem Nursary;28.610333;76.9713
Khera More / Ghuman Hera Crossing;28.611483000000003;76.97586700000002
Jharoda Crossing;28.613575;76.979586
Najafgarh Terminal;28.614689;76.97754300000003
Shalimar Bagh (Ring Road);28.7033;77.1689
Ashok Vihar Crossing;28.701996;77.165407
Shalimar Bagh Richi Rich;28.70135;77.16376
Prem Bari Pul;28.6999;77.1583
Punjab Kesari (Subhash Palace Depot);28.696;77.1558
Wazirpur DTC Depot / Netaji Subhash Palace;28.6937;77.1512
Pitampura ND Block;28.6954;77.1461
Kohat Enclave Metro Station;28.6972;77.1421
VaishaliEnclave / Kapil Vihar;28.6997;77.1371
JD Block Pitam Pura;28.7014;77.1347
PitampuraMetro Stn (MadhuvanChowk);28.7029;77.1325
Madhuban Chowk Outer Ring Road;28.70132000000001;77.1274
SaraswatiVihar C Block;28.700133;77.12525
Deepali Chowk;28.6980166666667;77.1195
Kali Mata Mandir;28.6969;77.1154
Puspanjali Enclave;28.6958;77.1115
Rohini Depot - 3;28.6952;77.1094
Mangolpur School;28.6945;77.1066
Mangolpur Kalan Village;28.69561666666669;77.1011833333333
Avantika Crossing;28.69875;77.0964
Mangol Pur Khurd;28.699967;77.094383
Mangolpuri Y Block;28.702717;77.089517
Budh Vihar;28.704333;77.086917
Krishna Vihar;28.70965;77.081117
Brahm Shakti Hospital;28.7125;77.0805
Pooth Kalan;28.714233;77.07691700000002
Rohini Sec-21;28.7187;77.0696
Begumpur;28.7217;77.06495
Rajeev Nagar;28.7247333333333;77.05875
Karala Pathsala Jain Mandir;28.726356;77.053345
Sukhbeer Nagar;28.727533;77.04895
Rama Vihar;28.728583;77.045817
Karala School;28.730681;77.039664
Karala Village;28.7315;77.03699999999998
Karala Crossing;28.731601;77.031627
Desu Office;28.7325;77.0284
Shiv Vihar Bheem Chowk;28.7333;77.025
Radha Swami Satsang;28.73384;77.0208
Shivam Plywood;28.7352;77.0125833333333
Kanjhawla Chowk;28.737911;77.00692
Nirmal Hospital;28.73842800000001;77.00439899999998
Ladpur Village;28.739490000000004;76.997517
Rajendra Lakra Public School;28.740338;76.994313
Sant Vivekanand School;28.74225;76.9865
Vriddha Ashram;28.744467;76.980917
Jonti Crossing;28.74615;76.978217
Jonti Village;28.753289;76.971848
Tatesar Village;28.755872;76.968475
Balaji Enclave;28.767498;76.96455999999998
Punjab Khor Village;28.773006;76.962094
Punjab Khor Village;28.7779;76.9614
Divya Dham Ashram;28.788119;76.962441
Jatt Khor Crossing;28.79069;76.962473
Qutub Garh Enclave;28.7977;76.960533
Qutub Garh Village;28.801283;76.962067
Katewara Crossing;28.8061001;76.9658501
Katewara Colony;28.805956;76.96986700000002
Katewara Village;28.80522;76.97682900000002
Rajghat Cluster Depot;28.643931;77.252592
Rajghat Gandhi Darshan;28.6389;77.2502
Gandhi Darshan;28.636983;77.24726700000002
Indira Gandhi Stadium;28.6336;77.2469
IP Power House / ITO Ring Road;28.624067;77.247683
Indraprastha Depot;28.6195;77.249
Pragati Power Station;28.616;77.2501
Railway Road Bridge;28.61093300000001;77.2518
Nizamuddin Road Bridge;28.6034;77.254233
ISBT Sarai Kale Khan;28.5911;77.258083
Kushak Nallah Depot;28.580073;77.224903
Lodhi Colony;28.5847;77.2247
Central School Lodhi Road;28.584967;77.22823299999997
J L Nehru Stadium;28.5841;77.2301
Sewa Nagar Flyover;28.57875;77.22953299999998
Defence Colony (Homyopathic College);28.571983000000003;77.22766700000003
PT College Kotla;28.569817;77.22655
Andrews Ganj;28.565967;77.2306
Gupta Market;28.565133000000003;77.239733
Lajpat Nagar 2 Ring Road;28.565117;77.242
Lajpat Nagar Ring Road;28.5658;77.249117
Lajpat Nagar Crossing;28.564183;77.250367
Garhi Village;28.5624;77.251417
B-Block East of Kailash;28.562167;77.255617
C-Block East of Kailash;28.56215;77.2582
SNPD;28.561333;77.26011700000002
Laghu Udyog Sansthan (ModiMill);28.5565;77.2648
NSIC;28.553683000000003;77.26513299999998
Kalkaji Mandir;28.55205;77.2645
Kalkaji Mandir (MaaAnandmayeeMarg);28.5479;77.263
Govind Puri Metro Station;28.545217;77.2641
Kalkaji Depot;28.5375;77.2674
C-Lal Chowk;28.534033;77.26866700000002
CRPF Camp / Crown Plaza;28.527867;77.27238299999998
Bank;28.5261;77.2736
Okhla Ph-I;28.5203;77.2777
ESI Hospital;28.51425;77.28133299999998
Tehkhand Depot DTC;28.510917;77.28116700000002
Prem Nagar;28.5044;77.2793
Lal Kuan;28.5026;77.28451700000002
Surajkund Crossing;28.5017;77.291
Prehlad Pur;28.5;77.29463299999998
Badarpur M B Road;28.4995;77.299267
Jaitpur Crossing;28.497217;77.302647
Badarpur Border;28.4927;77.30381700000002
Dichau Kalan Depot;28.628749;76.997316
Nirmal Vihar;28.625333;76.992517
Udaseen Ashram;28.621649;76.988196
Dichau Chowk;28.616915;76.98384300000002
Najafgarh Delhi Gate;28.611742;76.98566
Chawla Stand Najafgarh;28.6084;76.9855
BDO Office Roshan Pura;28.600874;76.988759
Durga Vihar;28.596578000000004;76.99048499999998
Deenpur Village;28.5933;76.992
Goela Dairy Crossing;28.591193;76.993282
Shyam Vihar;28.591481;77.000564
Goyla Village;28.587801;77.008562
Taj Pur More;28.583311;77.011776
St Thomas School Goyla Vihar;28.581902000000003;77.015056
Nehru Bus Stand Goyla Dairy;28.580514;77.01926800000003
Goyla Dairy;28.579886;77.021759
Jhankar Crossing;28.579252;77.024293
Qutub Vihar Phase-I Kikar Stand;28.5784;77.029767
Police Post;28.577431;77.035333
Amrohi More;28.574817;77.0513
Dwarka Sec-19 Modern School;28.578167;77.0542
NHAI Building/ Dwarka Sec-10 Metro Station;28.579068;77.05911800000001
President Cabinet Apartments;28.582753000000004;77.062279
Princess Park/ Airforce Noval Office Enclave;28.587688;77.066452
Dwarka Sec-6/7;28.59126;77.069535
Dwarka Sec-6 Telephone Exchange;28.593228000000003;77.070994
Dwarka Crossing / Maharaja Agrasen Hospital;28.5931;77.07968000000002
Health Centre;28.592067;77.0813
Mangla Puri Terminal;28.590099;77.086907
Shivaji Stadium Terminal;28.632763;77.215806
Shaheed Bhagat Singh Marg;28.63325;77.212283
Shaheed Bhagat Singh Marg;28.6334;77.2092
Gole Market;28.6347;77.2037
PS Mandir Marg;28.638783;77.20345
Balmiki Mandir;28.639867;77.2043
Panchkuian Road Banwai Lal Hospital;28.6417;77.2042
Meghdoot Bhawan;28.643667;77.201033
Pusa Road Petrol Pump Sadhu Vaswani Marg;28.644583;77.192833
Karol Bagh Metro Station;28.643911;77.18874699999998
Rajendra Place / Karol Bagh Telephone Exchange;28.642667;77.180083
East Patel Nagar;28.6423;77.1733
South Patel Nagar (Metro Station);28.6453;77.1683
West Patel Nagar;28.647504;77.164974
Shadipur DTC Colony Metro Station;28.6512;77.1585
Shadipur Depot;28.653117;77.1555
Moti Nagar Industrial Area;28.657317;77.1485
Karampura Terminal;28.661;77.142383
B Block New Moti Nagar;28.6635;77.1406
Punjabi Bagh Terminal;28.66935;77.1374
Britannia Chowk Shakurpur;28.684284;77.147583
Telephone Exchange Shakurpur;28.686484000000004;77.15093399999998
Wazirpur DTC Depot Ring Road;28.691926;77.153426
Guru Govind Singh College;28.69793300000001;77.151517
TV Tower (Power House);28.6997;77.1512
DAV School;28.6998;77.1438
Pitam Pura KD Block;28.7002;77.1411
Pittampura AP-Block;28.7031;77.1395
Pitampura CD-Block;28.7063;77.1382
Pitampura Power House;28.7047458;77.13201409999998
Madhuban Chowk (Outer Ring Road);28.7048;77.1322
Madhuvan Chowk;28.7046;77.13
Sai Baba Chowk Rohini;28.708;77.125
Sai Baba Chowk Rohini;28.709054;77.123651
Rohini Sec 7 and 8;28.711431;77.120195
Rohini West Metro Station;28.715;77.115
Rohini Depot 1 Sec 6 (Ambedkar Hospital);28.7158;77.11398299999998
Rajeev Gandhi Cancer Hospital;28.71725;77.11183299999998
Rithala Metro Station;28.7196;77.1084
Pal Colony;28.7235;77.1036
Rithala Village;28.725917;77.10010600000003
Sec-24 Rohini Main Road;28.727;77.0984
Dera Satguru Sewaram Sahai Sec 24/25;28.72965;77.09468299999997
Sec-24 Rohini;28.7283;77.0926
Hanuman Mandir Rohini Sec 24;28.722883000000003;77.087733
Rohini Sec 23 Pkt 1 (Green Hill Aptt.);28.71930900000001;77.08471
Ghuman Hera Village;28.532153000000005;76.92232299999998
Ghuman Hera More / Shikarpur Crossing;28.537115000000004;76.922376
Dewta Wala mandir;28.548976;76.930686
Hasanpur Village;28.556573;76.936719
KharKhari Rondh;28.56176;76.941887
Pandwala Crossing;28.574027;76.95235600000002
KharKhari Jatmal / Surhera Crossing;28.582168;76.957902
KharKhari Nahar / Khera Dabur;28.58704;76.959128
Khera Village 2;28.596312;76.964794
Krishna Nagar / Gopal Nagar;28.606791;76.972726
Jhatikra Crossing Pandwala Road;28.584748;76.995233
Rewla Tajpur Crossing;28.572355;76.980956
Purani Basti Rewla Khanpur;28.56958400000001;76.977685
Rewla Khanpur Depot;28.568611;76.97664
Tikri Khurd;28.835983;77.123838
Tikri Khurd Crossing / AMPC;28.83617700000001;77.12839
Tikri Khurd Crossing / AMPC;28.835604;77.128935
Khampur Village;28.824476;77.132311
Bakauli Village (GT Road);28.810288;77.13709200000002
Shani Dham Mandir GT Road;28.80415;77.14274
Pwd Office;28.8012;77.13896700000002
Alipur Village GT Road;28.796617;77.1396
Jind Pur Crossing;28.793233;77.14415
Sai Mandir;28.78865;77.141467
Budhpur GT Road;28.782107;77.141601
Jain Mandir;28.77715;77.14263299999998
Nangli Puna;28.774167;77.14326700000002
Gurudwara Siraspur GT Road;28.764956;77.146126
Kapashera Border;28.522481;77.082442
Kapashera Village;28.524517;77.0837
Kapashera Crossing;28.5313;77.08815
Samalkha Village;28.534652;77.090446
Samalkha Crossing;28.538205;77.09143399999998
Puspanjali G Block;28.5415;77.07682
Dwarka Road;28.544217;77.065083
Bharthal Under Pass;28.547567;77.057117
Dwarka Sec-21 Metro Station;28.55175;77.0565
Dwarka Sec-21 Crossing;28.55411;77.05858
Dwarka Sec 22;28.55806500000001;77.06188900000002
Dwarka Sec-20/21 Crossing;28.56415;77.06296999999998
Dwarka Sec-8 Metro Station;28.56622;77.06691
